Stock,EventD,EventT,OptionEX,C/P,Strike,Size,OPrice,Direction,Condition,Seq,LegSeq,MillionD,StockV,MarketCapB,ER_Date,ER_A/B,Height,MaxMillionD,MaxStrike,MinHeight,MaxHeight,MaxSize,Index,OIa,OIChange
AERI,180719,124823,180817,C,70.0,300,6.800,Buy66%   ,Spread              ,116721027,116721035,0.20,73.9,2.9,,,95.0,0.28,70.0,88.0,95.0,300,AERI_180719_124823_A,774,300.0
AERI,180719,124823,180720,C,65.0,300,9.200,Sell23%  ,Spread              ,116721035,116721027,0.28,73.9,2.9,,,88.0,0.28,70.0,88.0,95.0,300,AERI_180719_124823_B,338,0.0
AMD,180719,103745,180817,C,19.0,2500,0.420,Buy100%  ,BuyWrite            ,136069270,136069270,0.11,16.71,16.2,20180725,amc,114.0,0.26,19.0,102.0,114.0,2500,AMD_180719_103745_A,8617,2637.0
AMD,180719,103745,180817,C,18.0,2500,0.670,Buy100%  ,BuyWrite            ,136069270,136069270,0.17,16.71,16.2,20180725,amc,108.0,0.26,19.0,102.0,114.0,2500,AMD_180719_103745_B,32645,174.0
AMD,180719,103745,180817,C,17.0,2500,1.020,Buy100%  ,BuyWrite            ,136069270,136069270,0.26,16.71,16.2,20180725,amc,102.0,0.26,19.0,102.0,114.0,2500,AMD_180719_103745_C,20853,2853.0
AMD,180719,151516,190118,P,21.0,7000,5.350,Buy100%  ,BuyWrite            ,460919079,460919079,3.75,16.71,16.2,20180725,amc,126.0,3.75,21.0,126.0,126.0,7000,AMD_180719_151516_A,10908,9372.0
AMD,180719,151625,190118,P,21.0,7000,5.350,Buy100%  ,BuyWrite            ,460919079,460919079,3.75,16.71,16.2,20180725,amc,126.0,3.75,21.0,126.0,126.0,7000,AMD_180719_151625_B,10908,9372.0
AMZN,180719,111408,180817,P,1450.0,143,1.380,Sell7%   ,Spread              ,185732183,185732183,0.02,1812.97,851.6,20180726,amc,80.0,0.52,1590.0,80.0,88.0,143,AMZN_180719_111408_B,520,-113.0
AMZN,180719,111408,181116,P,1590.0,143,36.480,Buy44%   ,Spread              ,185732183,185732183,0.52,1812.97,851.6,20180726,amc,88.0,0.52,1590.0,80.0,88.0,143,AMZN_180719_111408_A,74,0.0
AMZN,180719,112534,180817,C,2000.0,775,13.650,Sell55%  ,Spread              ,197447205,197447203,1.06,1812.97,851.6,20180726,amc,110.0,1.06,2000.0,101.0,110.0,775,AMZN_180719_112534_A,1710,914.0
AMZN,180719,112534,180720,C,1830.0,477,12.550,Buy100%  ,Spread              ,197447203,197447203,0.60,1812.97,851.6,20180726,amc,101.0,1.06,2000.0,101.0,110.0,775,AMZN_180719_112534_B,3799,1117.0
AMZN,180719,115321,180720,C,1830.0,477,12.550,Buy12%   ,Spread              ,197447203,197447205,0.60,1812.97,851.6,20180726,amc,101.0,1.06,2000.0,101.0,110.0,775,AMZN_180719_115321_C,3799,1117.0
ARMK,180719,155904,190118,P,35.0,2000,1.000,Buy100%  ,BuyWrite            ,143045705,143045705,0.20,39.5,9.8,20180807,bmo,89.0,1.14,35.0,89.0,89.0,2000,ARMK_180719_155904_A,10000,0.0
ARMK,180719,155904,190118,C,35.0,2000,5.700,Sell50%  ,BuyWrite            ,143045705,143045705,1.14,39.5,9.8,20180807,bmo,89.0,1.14,35.0,89.0,89.0,2000,ARMK_180719_155904_B,10000,0.0
ASPS,180719,143928,180817,C,30.0,605,4.500,Buy11%   ,Spread              ,117485452,117485450,0.27,33.77,0.6,20180807,bmo,89.0,0.54,30.0,74.0,89.0,605,ASPS_180719_143928_A,631,0.0
ASPS,180719,143928,180720,C,25.0,605,8.900,Sell40%  ,Spread              ,117485450,117485452,0.54,33.77,0.6,20180807,bmo,74.0,0.54,30.0,74.0,89.0,605,ASPS_180719_143928_B,842,0.0
BA,180719,95310,180921,P,350.0,570,12.000,Sell100% ,Spread              ,27441350,27441351,0.68,355.33,209.7,20180725,bmo,98.0,0.68,350.0,90.0,98.0,570,BA_180719_95310_A,1879,918.0
BA,180719,95310,180921,P,320.0,570,4.100,Buy100%  ,Spread              ,27441351,27441350,0.23,355.33,209.7,20180725,bmo,90.0,0.68,350.0,90.0,98.0,570,BA_180719_95310_B,2569,924.0
BABA,180719,95027,181019,C,230.0,638,1.560,Sell20%  ,Spread              ,23826777,23826777,0.10,187.34,474.0,20180815,bmo,123.0,0.1,240.0,123.0,128.0,638,BABA_180719_95027_B,21530,999.0
BABA,180719,95027,181019,C,240.0,638,0.920,Buy33%   ,Spread              ,23826777,23826777,0.06,187.34,474.0,20180815,bmo,128.0,0.1,240.0,123.0,128.0,638,BABA_180719_95027_A,10410,-691.0
BABA,180719,102924,180817,C,220.0,582,0.420,Buy33%   ,Spread              ,60071019,60071019,0.02,187.34,474.0,20180815,bmo,117.0,0.05,220.0,107.0,117.0,582,BABA_180719_102924_A,15582,-1393.0
BABA,180719,102924,180817,C,200.0,194,2.770,Sell77%  ,Spread              ,60071019,60071019,0.05,187.34,474.0,20180815,bmo,107.0,0.05,220.0,107.0,117.0,582,BABA_180719_102924_B,23384,1365.0
BABA,180719,142752,180817,C,220.0,942,0.440,Buy33%   ,Spread              ,204317904,204317904,0.04,187.34,474.0,20180815,bmo,117.0,0.09,220.0,107.0,117.0,942,BABA_180719_142752_A,15582,-1393.0
BABA,180719,142752,180817,C,200.0,314,2.760,Sell71%  ,Spread              ,204317904,204317904,0.09,187.34,474.0,20180815,bmo,107.0,0.09,220.0,107.0,117.0,942,BABA_180719_142752_B,23384,1365.0
BABA,180719,153257,181019,C,190.0,175,11.180,Buy73%   ,Spread              ,240139893,240139894,0.20,187.34,474.0,20180815,bmo,101.0,0.2,215.0,101.0,115.0,175,BABA_180719_153257_B,37114,5964.0
BABA,180719,153257,181019,C,215.0,175,3.360,Sell20%  ,Spread              ,240132314,240132313,0.06,187.34,474.0,20180815,bmo,115.0,0.2,215.0,101.0,115.0,175,BABA_180719_153257_A,30633,5731.0
BABA,180719,153257,181019,C,190.0,175,11.180,Buy73%   ,Spread              ,240132313,240132314,0.20,187.34,474.0,20180815,bmo,101.0,0.2,215.0,101.0,115.0,175,BABA_180719_153257_B,37114,5964.0
BABA,180719,153257,181019,C,215.0,175,3.360,Sell20%  ,Spread              ,240139894,240139893,0.06,187.34,474.0,20180815,bmo,115.0,0.2,215.0,101.0,115.0,175,BABA_180719_153257_A,30633,5731.0
BABA,180719,153258,181019,C,215.0,175,3.360,Sell20%  ,Spread              ,240146188,240146187,0.06,187.34,474.0,20180815,bmo,115.0,0.2,215.0,101.0,115.0,175,BABA_180719_153258_A,30633,5731.0
BABA,180719,153258,181019,C,190.0,175,11.180,Buy73%   ,Spread              ,240146187,240146188,0.20,187.34,474.0,20180815,bmo,101.0,0.2,215.0,101.0,115.0,175,BABA_180719_153258_B,37114,5964.0
BABA,180719,153258,181019,C,190.0,175,11.180,Buy73%   ,Spread              ,240148595,240148596,0.20,187.34,474.0,20180815,bmo,101.0,0.2,215.0,101.0,115.0,175,BABA_180719_153258_B,37114,5964.0
BABA,180719,153258,181019,C,215.0,175,3.360,Sell20%  ,Spread              ,240148596,240148595,0.06,187.34,474.0,20180815,bmo,115.0,0.2,215.0,101.0,115.0,175,BABA_180719_153258_A,30633,5731.0
BABA,180719,153302,181019,C,215.0,175,3.350,Sell33%  ,Spread              ,240178283,240178282,0.06,187.34,474.0,20180815,bmo,115.0,0.2,215.0,101.0,115.0,175,BABA_180719_153302_A,30633,5731.0
BABA,180719,153302,181019,C,190.0,175,11.180,Buy30%   ,Spread              ,240180557,240180558,0.20,187.34,474.0,20180815,bmo,101.0,0.2,215.0,101.0,115.0,175,BABA_180719_153302_B,37114,5964.0
BABA,180719,153302,181019,C,190.0,175,11.180,Buy30%   ,Spread              ,240178282,240178283,0.20,187.34,474.0,20180815,bmo,101.0,0.2,215.0,101.0,115.0,175,BABA_180719_153302_B,37114,5964.0
BABA,180719,153302,181019,C,215.0,175,3.350,Sell33%  ,Spread              ,240182435,240182434,0.06,187.34,474.0,20180815,bmo,115.0,0.2,215.0,101.0,115.0,175,BABA_180719_153302_A,30633,5731.0
BABA,180719,153302,181019,C,190.0,175,11.180,Buy30%   ,Spread              ,240182434,240182435,0.20,187.34,474.0,20180815,bmo,101.0,0.2,215.0,101.0,115.0,175,BABA_180719_153302_B,37114,5964.0
BABA,180719,153302,181019,C,215.0,175,3.350,Sell33%  ,Spread              ,240180558,240180557,0.06,187.34,474.0,20180815,bmo,115.0,0.2,215.0,101.0,115.0,175,BABA_180719_153302_A,30633,5731.0
BABA,180719,153303,181019,C,215.0,175,3.350,Sell33%  ,Spread              ,240185805,240185801,0.06,187.34,474.0,20180815,bmo,115.0,0.2,215.0,101.0,115.0,175,BABA_180719_153303_A,30633,5731.0
BABA,180719,153303,181019,C,215.0,175,3.350,Sell33%  ,Spread              ,240189897,240189896,0.06,187.34,474.0,20180815,bmo,115.0,0.2,215.0,101.0,115.0,175,BABA_180719_153303_A,30633,5731.0
BABA,180719,153303,181019,C,190.0,175,11.180,Buy30%   ,Spread              ,240189896,240189897,0.20,187.34,474.0,20180815,bmo,101.0,0.2,215.0,101.0,115.0,175,BABA_180719_153303_B,37114,5964.0
BABA,180719,153303,181019,C,190.0,175,11.180,Buy30%   ,Spread              ,240185801,240185805,0.20,187.34,474.0,20180815,bmo,101.0,0.2,215.0,101.0,115.0,175,BABA_180719_153303_B,37114,5964.0
BABA,180719,153304,181019,C,190.0,175,11.190,Buy40%   ,Spread              ,240195249,240195250,0.20,187.34,474.0,20180815,bmo,101.0,0.2,215.0,101.0,115.0,175,BABA_180719_153304_B,37114,5964.0
BABA,180719,153304,181019,C,215.0,175,3.350,Sell33%  ,Spread              ,240193538,240193537,0.06,187.34,474.0,20180815,bmo,115.0,0.2,215.0,101.0,115.0,175,BABA_180719_153304_A,30633,5731.0
BABA,180719,153304,181019,C,215.0,175,3.350,Sell33%  ,Spread              ,240195250,240195249,0.06,187.34,474.0,20180815,bmo,115.0,0.2,215.0,101.0,115.0,175,BABA_180719_153304_A,30633,5731.0
BABA,180719,153304,181019,C,190.0,175,11.190,Buy40%   ,Spread              ,240193537,240193538,0.20,187.34,474.0,20180815,bmo,101.0,0.2,215.0,101.0,115.0,175,BABA_180719_153304_B,37114,5964.0
BABA,180719,153353,181019,C,215.0,175,3.400,Buy33%   ,Spread              ,240604225,240604224,0.06,187.34,474.0,20180815,bmo,115.0,0.2,215.0,101.0,115.0,175,BABA_180719_153353_A,30633,5731.0
BABA,180719,153353,181019,C,215.0,175,3.400,Buy33%   ,Spread              ,240607751,240607750,0.06,187.34,474.0,20180815,bmo,115.0,0.2,215.0,101.0,115.0,175,BABA_180719_153353_A,30633,5731.0
BABA,180719,153353,181019,C,190.0,175,11.250,Buy100%  ,Spread              ,240607750,240607751,0.20,187.34,474.0,20180815,bmo,101.0,0.2,215.0,101.0,115.0,175,BABA_180719_153353_B,37114,5964.0
BABA,180719,153353,181019,C,190.0,175,11.250,Buy100%  ,Spread              ,240604224,240604225,0.20,187.34,474.0,20180815,bmo,101.0,0.2,215.0,101.0,115.0,175,BABA_180719_153353_B,37114,5964.0
BABA,180719,153407,181019,C,190.0,2495,11.250,Buy50%   ,Spread              ,240732029,240732029,2.81,187.34,474.0,20180815,bmo,101.0,2.81,215.0,101.0,115.0,2495,BABA_180719_153407_B,37114,5964.0
BABA,180719,153407,181019,C,215.0,2495,3.400,Sell33%  ,Spread              ,240732029,240732028,0.85,187.34,474.0,20180815,bmo,115.0,2.81,215.0,101.0,115.0,2495,BABA_180719_153407_A,30633,5731.0
BAC,180719,104311,200619,P,23.0,552,1.160,Sell60%  ,Spread              ,71281843,71281843,0.06,29.67,302.3,20181015,bmo,78.0,0.06,23.0,78.0,78.0,552,BAC_180719_104311_A,1005,552.0
BAC,180719,104311,200117,P,23.0,552,0.940,Buy100%  ,Spread              ,71281843,71281843,0.05,29.67,302.3,20181015,bmo,78.0,0.06,23.0,78.0,78.0,552,BAC_180719_104311_B,33882,2.0
BERY,180719,121134,180817,C,50.0,2000,1.100,Buy100%  ,Spread              ,144994072,144994167,0.22,48.23,6.4,20180803,bmo,104.0,0.22,55.0,104.0,114.0,2000,BERY_180719_121134_B,8374,2073.0
BERY,180719,121134,180817,C,55.0,2000,0.200,Un0%     ,Spread              ,144994167,144994072,0.04,48.23,6.4,20180803,bmo,114.0,0.22,55.0,104.0,114.0,2000,BERY_180719_121134_A,4087,0.0
BIIB,180719,113343,180817,C,380.0,650,10.200,Buy72%   ,Spread              ,119134819,119134821,0.66,358.11,75.7,20180724,bmo,106.0,0.66,420.0,106.0,117.0,650,BIIB_180719_113343_B,1374,488.0
BIIB,180719,113343,180817,C,420.0,650,2.400,Sell78%  ,Spread              ,119134821,119134819,0.16,358.11,75.7,20180724,bmo,117.0,0.66,420.0,106.0,117.0,650,BIIB_180719_113343_A,787,655.0
CELG,180719,154659,190118,P,125.0,100,39.500,Sell7%   ,Spread              ,143552137,143552171,0.40,85.34,63.9,20180726,bmo,146.0,0.4,125.0,146.0,146.0,100,CELG_180719_154659_A,915,0.0
CELG,180719,154659,190118,P,130.0,450,44.500,Buy100%  ,Spread              ,143553670,143553678,2.00,85.34,63.9,20180726,bmo,152.0,3.56,135.0,146.0,158.0,900,CELG_180719_154659_B,599,2.0
CELG,180719,154659,190118,P,135.0,450,49.500,Buy12%   ,Spread              ,143553678,143553667,2.23,85.34,63.9,20180726,bmo,158.0,3.56,135.0,146.0,158.0,900,CELG_180719_154659_A,961,0.0
CELG,180719,154659,190118,P,125.0,900,39.500,Sell7%   ,Spread              ,143553667,143553670,3.56,85.34,63.9,20180726,bmo,146.0,3.56,135.0,146.0,158.0,900,CELG_180719_154659_C,915,0.0
CFR,180719,122752,190118,C,100.0,597,16.700,Un0%     ,Spread              ,79582939,79582940,1.00,114.65,7.4,20180726,bmo,87.0,1.71,100.0,87.0,87.0,1194,CFR_180719_122752_A,1199,
CFR,180719,122752,180720,C,100.0,1194,14.300,Sell11%  ,Spread              ,79582941,79582939,1.71,114.65,7.4,20180726,bmo,87.0,1.71,100.0,87.0,87.0,1194,CFR_180719_122752_B,1203,0.0
CFR,180719,122752,190118,C,100.0,597,16.600,Sell20%  ,Spread              ,79582940,79582941,0.99,114.65,7.4,20180726,bmo,87.0,1.71,100.0,87.0,87.0,1194,CFR_180719_122752_C,1199,
CLF,180719,133507,180720,C,7.0,10800,1.780,Buy33%   ,Spread              ,101663906,101663909,1.92,8.84,2.6,20180720,bmo,79.0,2.0,7.0,79.0,79.0,10800,CLF_180719_133507_A,3979,-10620.0
CLF,180719,133507,180817,C,7.0,10800,1.850,Buy100%  ,Spread              ,101663909,101663906,2.00,8.84,2.6,20180720,bmo,79.0,2.0,7.0,79.0,79.0,10800,CLF_180719_133507_B,12364,10761.0
COST,180719,103215,181019,C,240.0,307,1.280,Buy50%   ,Spread              ,36000539,36000539,0.04,217.54,95.4,20181004,amc,110.0,0.21,240.0,83.0,110.0,307,COST_180719_103215_A,2151,826.0
COST,180719,103215,181019,C,220.0,307,6.820,Sell20%  ,Spread              ,36000539,36000539,0.21,217.54,95.4,20181004,amc,101.0,0.21,240.0,83.0,110.0,307,COST_180719_103215_B,2772,792.0
COST,180719,103215,181019,P,200.0,307,2.370,Sell50%  ,Spread              ,36000539,36000539,0.07,217.54,95.4,20181004,amc,92.0,0.21,240.0,83.0,110.0,307,COST_180719_103215_C,2860,807.0
COST,180719,103215,181019,P,180.0,307,0.710,Buy60%   ,Spread              ,36000539,36000534,0.02,217.54,95.4,20181004,amc,83.0,0.21,240.0,83.0,110.0,307,COST_180719_103215_D,2368,782.0
CRNT,180719,131946,181221,C,2.5,500,1.420,Buy40%   ,Spread              ,119094120,119094125,0.07,3.76,0.3,20180806,bmo,66.0,0.07,5.0,66.0,133.0,500,CRNT_180719_131946_B,1260,515.0
CRNT,180719,131946,181221,C,5.0,500,0.220,Sell20%  ,Spread              ,119094125,119094120,0.01,3.76,0.3,20180806,bmo,133.0,0.07,5.0,66.0,133.0,500,CRNT_180719_131946_A,2469,500.0
CTB,180719,125449,181116,P,18.0,6000,0.220,Sell2%   ,Spread              ,107900634,107900632,0.13,25.8,1.3,20180802,bmo,70.0,1.13,23.0,70.0,89.0,9803,CTB_180719_125449_B,6005,6000.0
CTB,180719,125449,181116,P,23.0,9803,1.150,Buy100%  ,Spread              ,107900632,107900634,1.13,25.8,1.3,20180802,bmo,89.0,1.13,23.0,70.0,89.0,9803,CTB_180719_125449_A,12000,11975.0
CTB,180719,150928,181116,P,20.0,200,0.400,Sell33%  ,Spread              ,161924396,161924396,0.01,25.8,1.3,20180802,bmo,78.0,0.09,24.0,78.0,93.0,2300,CTB_180719_150928_B,3805,0.0
CTB,180719,150928,181116,P,20.0,2300,0.400,Sell33%  ,Spread              ,161924396,161924396,0.09,25.8,1.3,20180802,bmo,78.0,0.09,24.0,78.0,93.0,2300,CTB_180719_150928_C,3805,0.0
CTB,180719,150928,181116,P,24.0,200,1.350,Buy33%   ,Spread              ,161924396,161924396,0.03,25.8,1.3,20180802,bmo,93.0,0.09,24.0,78.0,93.0,2300,CTB_180719_150928_A,3554,0.0
DIS,180719,111644,181019,P,90.0,1000,0.150,Sell100% ,Spread              ,41465875,41465874,0.02,112.13,163.7,20180807,amc,80.0,0.07,100.0,80.0,89.0,1000,DIS_180719_111644_B,4290,-1015.0
DIS,180719,111644,181019,P,100.0,1000,0.650,Buy63%   ,Spread              ,41465874,41465875,0.07,112.13,163.7,20180807,amc,89.0,0.07,100.0,80.0,89.0,1000,DIS_180719_111644_A,4571,-967.0
DPZ,180719,112228,180921,C,310.0,2000,2.000,Sell52%  ,Spread              ,75365049,75365045,0.40,276.75,11.9,20180719,bmo,112.0,0.67,310.0,105.0,112.0,2000,DPZ_180719_112228_A,2188,2003.0
DPZ,180719,112228,180921,C,290.0,1000,6.700,Buy66%   ,Spread              ,75365045,75365049,0.67,276.75,11.9,20180719,bmo,105.0,0.67,310.0,105.0,112.0,2000,DPZ_180719_112228_B,1206,1093.0
DVMT,180719,145545,181019,P,75.0,900,0.550,Sell42%  ,Spread              ,173550625,173550633,0.05,94.74,18.7,20180905,bmo,79.0,0.05,80.0,79.0,84.0,900,DVMT_180719_145545_B,7650,-900.0
DVMT,180719,145545,181019,P,80.0,450,0.900,Sell50%  ,Spread              ,173550633,173550625,0.04,94.74,18.7,20180905,bmo,84.0,0.05,80.0,79.0,84.0,900,DVMT_180719_145545_A,1779,0.0
DVN,180719,103921,180720,C,46.0,334,0.030,Buy100%  ,Spread              ,51332495,51332487,0.00,44.14,22.8,20180731,amc,104.0,0.22,46.0,86.0,104.0,646,DVN_180719_103921_A,3837,-34.0
DVN,180719,103921,180720,C,38.0,355,6.200,Un0%     ,Spread              ,51332489,51332491,0.22,44.14,22.8,20180731,amc,86.0,0.22,46.0,86.0,104.0,646,DVN_180719_103921_C,4237,-451.0
DVN,180719,103921,180831,C,45.5,646,1.740,Sell33%  ,Spread              ,51332487,51332489,0.11,44.14,22.8,20180731,amc,103.0,0.22,46.0,86.0,104.0,646,DVN_180719_103921_B,665,646.0
EBAY,180719,131738,190118,C,45.0,990,0.230,Un0%     ,Spread              ,129742823,129742823,0.02,34.11,33.3,20181016,amc,132.0,0.02,50.0,132.0,147.0,990,EBAY_180719_131738_B,13814,-580.0
EBAY,180719,131738,190118,C,50.0,990,0.040,Sell100% ,Spread              ,129742823,129742819,0.00,34.11,33.3,20181016,amc,147.0,0.02,50.0,132.0,147.0,990,EBAY_180719_131738_A,7844,8.0
EDIT,180719,145625,180817,P,35.0,1050,2.250,Buy72%   ,Spread              ,173811634,173811638,0.24,36.13,1.7,20180807,amc,97.0,0.39,40.0,97.0,111.0,1050,EDIT_180719_145625_B,1848,1063.0
EDIT,180719,145625,180720,P,40.0,975,4.050,Sell25%  ,Spread              ,173811638,173811634,0.39,36.13,1.7,20180807,amc,111.0,0.39,40.0,97.0,111.0,1050,EDIT_180719_145625_A,975,0.0
EGN,180719,104407,180720,C,67.5,520,6.900,Sell42%  ,Spread              ,32227565,32227566,0.36,74.87,7.4,20180807,bmo,90.0,0.36,72.5,90.0,97.0,520,EGN_180719_104407_B,1611,-213.0
EGN,180719,104407,180720,C,72.5,520,2.050,Buy40%   ,Spread              ,32227566,32227565,0.11,74.87,7.4,20180807,bmo,97.0,0.36,72.5,90.0,97.0,520,EGN_180719_104407_A,1386,-10.0
ENTA,180719,154541,181019,C,95.0,270,29.500,Sell63%  ,Spread              ,121777724,121777715,0.80,123.13,2.3,20180807,amc,77.0,0.8,95.0,77.0,77.0,270,ENTA_180719_154541_A,12,0.0
EWJ,180719,153103,190118,P,57.0,11500,1.550,Sell50%  ,BuyWrite            ,176423040,176423040,1.78,58.01,,,,98.0,1.78,57.0,88.0,98.0,11500,EWJ_180719_153103_A,12671,0.0
EWJ,180719,153103,200117,P,51.0,11500,1.510,Sell45%  ,BuyWrite            ,176423040,176423040,1.74,58.01,,,,88.0,1.78,57.0,88.0,98.0,11500,EWJ_180719_153103_B,11500,
F,180719,120945,190621,C,12.0,650,0.430,Sell33%  ,BuyWrite            ,90831866,90831866,0.03,10.82,42.7,20180725,amc,111.0,1.35,12.0,111.0,111.0,7150,F_180719_120945_A,41728,-454.0
F,180719,120945,190621,C,12.0,5200,0.420,Sell100% ,BuyWrite            ,90831866,90831866,0.22,10.82,42.7,20180725,amc,111.0,1.35,12.0,111.0,111.0,7150,F_180719_120945_B,41728,-454.0
F,180719,120945,190621,P,12.0,7150,1.890,Buy60%   ,BuyWrite            ,90831866,90831866,1.35,10.82,42.7,20180725,amc,111.0,1.35,12.0,111.0,111.0,7150,F_180719_120945_C,47657,0.0
F,180719,134023,190118,C,7.87,350,2.950,Sell33%  ,Spread              ,129579789,129579788,0.10,10.82,42.7,20180725,amc,73.0,0.21,7.87,45.0,73.0,350,F_180719_134023_A,14227,-331.0
F,180719,134023,190118,C,4.87,350,5.950,Un0%     ,Spread              ,129579788,129579789,0.21,10.82,42.7,20180725,amc,45.0,0.21,7.87,45.0,73.0,350,F_180719_134023_B,1023,-335.0
F,180719,134025,190118,C,4.87,350,5.950,Un0%     ,Spread              ,129598497,129598498,0.21,10.82,42.7,20180725,amc,45.0,0.21,7.87,45.0,73.0,350,F_180719_134025_B,1023,-335.0
F,180719,134025,190118,C,7.87,350,2.950,Sell33%  ,Spread              ,129598498,129598497,0.10,10.82,42.7,20180725,amc,73.0,0.21,7.87,45.0,73.0,350,F_180719_134025_A,14227,-331.0
F,180719,134032,190118,C,7.87,900,2.960,Buy33%   ,Spread              ,129646075,129646076,0.27,10.82,42.7,20180725,amc,73.0,0.27,10.0,73.0,92.0,900,F_180719_134032_B,14227,-331.0
F,180719,134032,180720,C,10.0,900,0.830,Buy100%  ,Spread              ,129646076,129646075,0.07,10.82,42.7,20180725,amc,92.0,0.27,10.0,73.0,92.0,900,F_180719_134032_A,102,-5485.0
F,180719,134034,180720,C,10.0,900,0.830,Buy100%  ,Spread              ,129654640,129654639,0.07,10.82,42.7,20180725,amc,92.0,0.27,10.0,73.0,92.0,900,F_180719_134034_A,102,-5485.0
F,180719,134034,190118,C,7.87,900,2.960,Buy33%   ,Spread              ,129654639,129654640,0.27,10.82,42.7,20180725,amc,73.0,0.27,10.0,73.0,92.0,900,F_180719_134034_B,14227,-331.0
FB,180719,104323,180817,C,220.0,240,2.940,Sell60%  ,BuyWrite            ,50037759,50037759,0.07,208.09,588.9,20180725,amc,106.0,0.34,230.0,99.0,111.0,360,FB_180719_104323_C,12463,369.0
FB,180719,104323,180817,C,205.0,240,9.360,Buy20%   ,BuyWrite            ,50037759,50037759,0.22,208.09,588.9,20180725,amc,99.0,0.34,230.0,99.0,111.0,360,FB_180719_104323_G,18201,-93.0
FB,180719,104323,180817,C,215.0,240,4.540,Sell11%  ,BuyWrite            ,50037759,50037759,0.11,208.09,588.9,20180725,amc,103.0,0.34,230.0,99.0,111.0,360,FB_180719_104323_E,10711,645.0
FB,180719,104323,180817,C,230.0,240,1.150,Sell100% ,BuyWrite            ,50037759,50037760,0.03,208.09,588.9,20180725,amc,111.0,0.34,230.0,99.0,111.0,360,FB_180719_104323_A,22213,298.0
FB,180719,104323,180817,C,205.0,360,9.360,Buy20%   ,BuyWrite            ,50037760,50037760,0.34,208.09,588.9,20180725,amc,99.0,0.34,230.0,99.0,111.0,360,FB_180719_104323_H,18201,-93.0
FB,180719,104323,180817,C,215.0,360,4.540,Sell11%  ,BuyWrite            ,50037760,50037760,0.16,208.09,588.9,20180725,amc,103.0,0.34,230.0,99.0,111.0,360,FB_180719_104323_F,10711,645.0
FB,180719,104323,180817,C,220.0,360,2.940,Sell60%  ,BuyWrite            ,50037760,50037761,0.11,208.09,588.9,20180725,amc,106.0,0.34,230.0,99.0,111.0,360,FB_180719_104323_D,12463,369.0
FB,180719,104323,180817,C,230.0,360,1.150,Sell100% ,BuyWrite            ,50037761,50037759,0.04,208.09,588.9,20180725,amc,111.0,0.34,230.0,99.0,111.0,360,FB_180719_104323_B,22213,298.0
FB,180719,155055,180921,P,205.0,500,7.650,Sell100% ,Spread              ,187240025,187240036,0.38,208.09,588.9,20180725,amc,99.0,0.38,205.0,84.0,99.0,500,FB_180719_155055_A,5229,43.0
