Symbol,StartDt,Duration,TotalUpRate,MeanUpRate,UpDuration,MeanDownRate,DownDuration,Up/Down_Rate,BullIndex
HRTX,20170130,128,0.313253012,0.023701057,74,-0.026232223,54,1.37037037,42
CHUBK,20170124,132,0.365204889,0.012870648,71,-0.009601321,61,1.163934426,42
EWS,20170104,145,0.245901639,0.005357509,92,-0.005088911,53,1.735849057,42
AVY,20170104,145,0.329769033,0.007667489,82,-0.005322831,63,1.301587302,42
COUP,20170322,92,0.312071918,0.020448688,53,-0.019825898,39,1.358974359,42
BYD,20170124,132,0.3221303,0.012012166,75,-0.010609835,57,1.315789474,42
HUN,20170109,142,0.33732431,0.015327844,79,-0.014199382,63,1.253968254,42
AMZN,20170104,145,0.310146159,0.008491259,84,-0.007127934,61,1.37704918,42
DUG,20170104,145,0.306195175,0.014767671,84,-0.015516084,61,1.37704918,42
KMG,20170228,108,0.357162347,0.01938831,59,-0.016280353,49,1.204081633,42
SFM,20170308,102,0.336925695,0.014770434,57,-0.011727755,45,1.266666667,42
B,20170124,132,0.313413304,0.010582229,76,-0.00930334,56,1.357142857,42
NJR,20170111,140,0.245255474,0.007468645,89,-0.008594156,51,1.745098039,42
NEE,20170110,141,0.246641318,0.005776949,89,-0.005577467,52,1.711538462,42
VVI,20170518,52,0.256709452,0.010557282,33,-0.006067469,19,1.736842105,42
TV,20170113,138,0.32998997,0.011993725,78,-0.010529228,60,1.3,42
AME,20170106,143,0.309475397,0.007334681,83,-0.005550988,60,1.383333333,42
FEP,20170104,145,0.246416382,0.005507966,92,-0.005331237,53,1.735849057,42
NTES,20170104,145,0.385084342,0.016885915,76,-0.013386816,69,1.101449275,42
CHIX,20170104,145,0.311248074,0.007594391,84,-0.005922823,61,1.37704918,42
CTRE,20170313,99,0.234858681,0.008675053,64,-0.009626822,35,1.828571429,42
DPZ,20170104,145,0.251768123,0.009876432,91,-0.012124553,54,1.685185185,42
WNS,20170110,141,0.287253809,0.008616551,84,-0.008098864,57,1.473684211,42
RUSHA,20170106,143,0.344537815,0.014138573,79,-0.012490275,64,1.234375,42
MCFT,20170118,136,0.315713251,0.012166192,78,-0.011335213,58,1.344827586,42
GTT,20170324,90,0.331182796,0.015599813,50,-0.011931978,40,1.25,41
ALR,20170201,126,0.343513514,0.009462219,69,-0.005879922,57,1.210526316,41
ZTO,20170313,99,0.284060552,0.017601575,59,-0.019052317,40,1.475,41
EPAY,20170417,75,0.263569457,0.010887978,46,-0.008956138,29,1.586206897,41
PARR,20170111,140,0.309090909,0.010759952,80,-0.009648103,60,1.333333333,41
TFX,20170104,145,0.365227244,0.009619863,77,-0.006171565,68,1.132352941,41
MKTX,20170104,145,0.36549474,0.011875588,77,-0.008585985,68,1.132352941,41
FDN,20170104,145,0.217477411,0.005276894,95,-0.006003244,50,1.9,41
HAS,20170104,145,0.302506266,0.009343957,84,-0.00816041,61,1.37704918,41
IHG,20170109,142,0.255338078,0.006512285,88,-0.006303495,54,1.62962963,41
COL,20170120,134,0.32765385,0.009478468,75,-0.007049524,59,1.271186441,41
CNA,20170113,138,0.311614026,0.008806084,79,-0.007039334,59,1.338983051,41
VC,20170104,145,0.342970101,0.012157298,79,-0.009827317,66,1.196969697,41
REGN,20170127,129,0.370829054,0.016515427,68,-0.012851742,61,1.114754098,41
MTZ,20170110,141,0.326086957,0.017957689,79,-0.017641637,62,1.274193548,41
CRSP,20170601,44,0.314977974,0.022181711,26,-0.015985712,18,1.444444444,41
