Stock,EventD,OptionEX,C/P,Strike,Avg_Price,Volume,OIa,OI_Change,MillionD,Buy_%,Sell_%,ER_Date,ER_A/B,Div_Date,StockV,Rank,MaxD,Huge,OView
IBM,180719,190118,P,140.0,4.301,1003,4997,705,0.303,11.86,12.56,20181015,amc,,149.24,107.0,0.788,2---2,Up
IBM,180719,190621,C,130.0,21.53,219,246,187,0.403,0.00,22.37,20181015,amc,,149.24,115.0,0.788,2---2,Down
IBM,180719,180817,C,150.0,2.139,10957,9686,3398,0.727,43.00,50.00,20181015,amc,,149.24,99.0,0.788,2---2,Down
IBM,180719,190621,C,155.0,7.469,1134,447,1055,0.788,2.03,97.53,20181015,amc,,149.24,96.0,0.788,2---2,Down
IGV,180719,181116,C,215.0,1.675,4010,19,3988,0.668,99.83,0.17,,,,195.9,91.0,0.668,1---1,Up
IMMU,180719,180720,C,15.0,11.0,4,1697,-429,-0.472,100.00,0.00,,,,26.0,173.0,0.472,1---1,Up
INTC,180719,180720,C,47.0,4.513,922,2358,-1220,-0.551,4.77,92.95,20180726,amc,,51.98,111.0,0.551,1---1,Down
IQ,180719,180720,P,40.0,5.775,623,7952,-5168,-2.984,86.36,8.83,20180731,amc,,32.65,82.0,2.984,1---2,Down
IQ,180719,180921,P,35.0,5.031,1077,15532,-687,-0.346,41.97,52.74,20180731,amc,,32.65,93.0,2.984,1---2,Up
IQ,180719,190118,P,22.5,1.57,2521,1406,2521,0.396,99.17,0.44,20180731,amc,,32.65,145.0,2.984,1---2,Down
IRBT,180719,181221,C,80.0,8.798,380,88,380,0.334,0.00,39.21,20180724,amc,,77.89,97.0,0.334,1---1,Down
ISRG,180719,180720,C,500.0,27.586,358,1111,-165,-0.455,51.96,45.25,20180719,amc,,521.29,104.0,0.971,1---2,Up
ISRG,180719,180720,C,525.0,11.69,864,727,285,0.333,42.59,51.85,20180719,amc,,521.29,99.0,0.971,1---2,Down
ISRG,180719,181019,P,540.0,37.0,100,17,100,0.37,100.00,0.00,20180719,amc,,521.29,97.0,0.971,1---2,Down
ISRG,180719,180817,C,525.0,18.015,337,111,234,0.422,66.77,28.78,20180719,amc,,521.29,99.0,0.971,1---2,Up
ISRG,180719,181019,C,450.0,84.457,116,195,115,0.971,81.90,17.24,20180719,amc,,521.29,116.0,0.971,1---2,Up
ITB,180719,181221,C,41.0,1.85,2977,11,2941,0.544,24.66,74.14,,,,40.09,98.0,0.544,2---2,Down
JCP,180719,180817,P,3.0,0.513,12140,17201,10237,0.525,97.29,1.91,20180809,bmo,,2.56,85.0,0.525,1---1,Down
JD,180719,180720,P,38.0,1.035,779,32611,-6050,-0.626,58.54,33.25,20180813,bmo,,36.88,97.0,1.575,2---2,Down
JD,180719,180727,P,38.0,1.356,2846,530,2497,0.339,98.10,1.69,20180813,bmo,,36.88,97.0,1.575,2---2,Down
JD,180719,181221,C,50.0,0.478,8042,10872,7998,0.383,17.15,67.32,20180813,bmo,,36.88,74.0,1.575,2---2,Down
JD,180719,180727,P,36.0,0.311,14177,294,13010,0.404,31.42,7.54,20180813,bmo,,36.88,102.0,1.575,2---2,Down
JD,180719,190118,P,34.0,1.905,3001,19977,3001,0.572,0.03,99.97,20180813,bmo,,36.88,108.0,1.575,2---2,Up
JD,180719,180817,C,38.0,1.064,979,35657,8208,0.873,44.84,36.47,20180813,bmo,,36.88,97.0,1.575,2---2,Up
JD,180719,180817,P,38.0,2.002,304,38106,7866,1.575,61.84,5.26,20180813,bmo,,36.88,97.0,1.575,2---2,Down
JPM,180719,190118,P,110.0,5.81,1206,7544,624,0.363,26.45,42.45,20181012,bmo,,109.89,100.0,3.11,1---2,Up
JPM,180719,190118,C,120.0,2.296,2184,16972,1816,0.417,17.22,73.21,20181012,bmo,,109.89,92.0,3.11,1---2,Down
