Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
EOG,"EOG Resources, Inc.",123.76,71639870528,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eog
EPE,EP Energy Corporation,2.98,749070316.4,n/a,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/epe
EQT,EQT Corporation,52.55,13951597979,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eqt
EQNR,Equinor ASA,27.04,90030882090,n/a,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/eqnr
EPM,"Evolution Petroleum Corporation, Inc.",9.45,313470807.3,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/epm
XOG,"Extraction Oil & Gas, Inc.",16.45,2890750620,n/a,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/xog
XOM,Exxon Mobil Corporation,81.64,3.4565E+11,n/a,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/xom
FELP,Foresight Energy LP,3.86,558855543.9,n/a,2014,Energy,Coal Mining,https://www.nasdaq.com/symbol/felp
FET,"Forum Energy Technologies, Inc.",15.2,1654341126,n/a,2012,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/fet
FI,Frank&#39;s International N.V.,7.52,1684723054,n/a,2013,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/fi
FTSI,"FTS International, Inc.",21.91,2394205697,n/a,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ftsi
GST,Gastar Exploration Inc.,0.7,154073732.4,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gst
GE,General Electric Company,15.29,1.32799E+11,n/a,n/a,Energy,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/ge
GEL,"Genesis Energy, L.P.",22.49,2756806613,n/a,1996,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/gel
GPRK,Geopark Ltd,16.5,1000011986,n/a,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gprk
GLP,Global Partners LP,17.45,593222574.4,n/a,2005,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/glp
GDP,Goodrich Petroleum Corporation,13.49,155973093.2,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gdp
EAF,GrafTech International Ltd.,19.6,5923628091,n/a,2018,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/eaf
GTE,Gran Tierra Energy Inc.,3.41,1314195729,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gte
GLF,"GulfMark Offshore, Inc.",34.12,245441878.8,n/a,2017,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/glf
GPOR,Gulfport Energy Corporation,10.65,1849456582,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gpor
HK,Halcon Resources Corporation,5.42,869681915.6,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hk
HNRG,Hallador Energy Company,7.05,211187776.7,n/a,n/a,Energy,Coal Mining,https://www.nasdaq.com/symbol/hnrg
HAL,Halliburton Company,53.24,46636983057,n/a,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/hal
HLX,"Helix Energy Solutions Group, Inc.",8.05,1192129459,n/a,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/hlx
HP,"Helmerich & Payne, Inc.",70.72,7700112975,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hp
HES,Hess Corporation,63.82,19153204767,n/a,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/hes
HESM,Hess Midstream Partners LP,20.35,1110600212,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hesm
HPR,HighPoint Resources Corporation,7.14,0,n/a,2018,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hpr
HEP,"Holly Energy Partners, L.P.",29.39,3098326834,n/a,2004,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/hep
HFC,HollyFrontier Corporation,72.94,12876993466,n/a,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/hfc
HOLI,"Hollysys Automation Technologies, Ltd.",25.35,1529672210,n/a,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/holi
HUSA,Houston American Energy Corporation,0.2748,16353375.75,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/husa
HGT,Hugoton Royalty Trust,0.8232,32928000,n/a,1999,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hgt
IPWR,Ideal Power Inc.,1.2252,17148047.45,n/a,2013,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ipwr
IMO,Imperial Oil Limited,32.79,26998017420,n/a,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/imo
